start,end,length,strand,frame,chromosome
12045,12426,381,1,0,chrI
24477,24879,402,1,0,chrI
26733,27159,426,1,0,chrI
31566,32940,1374,1,0,chrI
33447,34701,1254,1,0,chrI
35154,36303,1149,1,0,chrI
39258,41901,2643,1,0,chrI
59052,59409,357,1,0,chrI
74019,74823,804,1,0,chrI
94686,95472,786,1,0,chrI
104526,104847,321,1,0,chrI
114249,114819,570,1,0,chrI
114918,118314,3396,1,0,chrI
124878,126786,1908,1,0,chrI
132159,134076,1917,1,0,chrI
143706,147531,3825,1,0,chrI
149400,149841,441,1,0,chrI
152256,153876,1620,1,0,chrI
155004,156285,1281,1,0,chrI
169374,170295,921,1,0,chrI
177093,177450,357,1,0,chrI
188106,188811,705,1,0,chrI
192618,196185,3567,1,0,chrI
220197,220497,300,1,0,chrI
222405,222891,486,1,0,chrI
225459,226863,1404,1,0,chrI
228843,229317,474,1,0,chrI
334,649,315,1,1,chrI
10090,10399,309,1,1,chrI
36508,37147,639,1,1,chrI
45898,48250,2352,1,1,chrI
54583,54913,330,1,1,chrI
57517,57850,333,1,1,chrI
61315,62563,1248,1,1,chrI
62839,65404,2565,1,1,chrI
69046,69505,459,1,1,chrI
71785,73288,1503,1,1,chrI
76426,79435,3009,1,1,chrI
79717,80587,870,1,1,chrI
82705,83227,522,1,1,chrI
92899,94486,1587,1,1,chrI
109387,109801,414,1,1,chrI
130798,131983,1185,1,1,chrI
135853,136633,780,1,1,chrI
158890,159793,903,1,1,chrI
174997,175330,333,1,1,chrI
183769,184477,708,1,1,chrI
184891,185596,705,1,1,chrI
186835,187732,897,1,1,chrI
190192,192256,2064,1,1,chrI
218548,219145,597,1,1,chrI
37463,38972,1509,1,2,chrI
42176,42719,543,1,2,chrI
48563,51707,3144,1,2,chrI
57137,57437,300,1,2,chrI
77390,77693,303,1,2,chrI
84668,84977,309,1,2,chrI
112961,113336,375,1,2,chrI
120224,124295,4071,1,2,chrI
128561,128999,438,1,2,chrI
129269,130487,1218,1,2,chrI
136913,137510,597,1,2,chrI
140759,141407,648,1,2,chrI
190421,191003,582,1,2,chrI
203402,208016,4614,1,2,chrI
221048,221660,612,1,2,chrI
227741,228953,1212,1,2,chrI
217156,217492,336,-1,0,chrI
207130,207511,381,-1,0,chrI
204211,204637,426,-1,0,chrI
201466,201787,321,-1,0,chrI
191179,191539,360,-1,0,chrI
186511,186853,342,-1,0,chrI
172210,175135,2925,-1,0,chrI
170395,171703,1308,-1,0,chrI
166741,168871,2130,-1,0,chrI
128251,129019,768,-1,0,chrI
113875,114208,333,-1,0,chrI
110845,113359,2514,-1,0,chrI
109576,109912,336,-1,0,chrI
95629,99697,4068,-1,0,chrI
84748,87031,2283,-1,0,chrI
77188,77665,477,-1,0,chrI
72325,73300,975,-1,0,chrI
57949,58483,534,-1,0,chrI
57487,57796,309,-1,0,chrI
57028,57385,357,-1,0,chrI
54988,56857,1869,-1,0,chrI
50818,51124,306,-1,0,chrI
42880,45022,2142,-1,0,chrI
38695,39046,351,-1,0,chrI
7234,9016,1782,-1,0,chrI
224562,224862,300,-1,1,chrI
179280,179820,540,-1,1,chrI
160596,164187,3591,-1,1,chrI
156753,158619,1866,-1,1,chrI
137697,138345,648,-1,1,chrI
118563,119541,978,-1,1,chrI
115869,116418,549,-1,1,chrI
113613,114615,1002,-1,1,chrI
108876,110430,1554,-1,1,chrI
100224,101145,921,-1,1,chrI
95385,95823,438,-1,1,chrI
83334,84474,1140,-1,1,chrI
80709,82101,1392,-1,1,chrI
79488,79842,354,-1,1,chrI
78387,78933,546,-1,1,chrI
75042,76152,1110,-1,1,chrI
72213,72696,483,-1,1,chrI
68715,69525,810,-1,1,chrI
61230,61608,378,-1,1,chrI
52800,54789,1989,-1,1,chrI
36495,36918,423,-1,1,chrI
34104,34476,372,-1,1,chrI
13362,13743,381,-1,1,chrI
1806,2169,363,-1,1,chrI
228536,228863,327,-1,2,chrI
192932,193430,498,-1,2,chrI
164543,165866,1323,-1,2,chrI
157802,158126,324,-1,2,chrI
154064,154724,660,-1,2,chrI
