start,end,length,strand,frame,chromosome,label
12045,12426,381,1,0,chrI,known_gene
24477,24879,402,1,0,chrI,novel_orf
26733,27159,426,1,0,chrI,novel_orf
31566,32940,1374,1,0,chrI,known_gene
33447,34701,1254,1,0,chrI,known_gene
35154,36303,1149,1,0,chrI,known_gene
39258,41901,2643,1,0,chrI,known_gene
59052,59409,357,1,0,chrI,novel_orf
74019,74823,804,1,0,chrI,known_gene
94686,95472,786,1,0,chrI,known_gene
104526,104847,321,1,0,chrI,novel_orf
114249,114819,570,1,0,chrI,known_gene
114918,118314,3396,1,0,chrI,known_gene
124878,126786,1908,1,0,chrI,known_gene
132159,134076,1917,1,0,chrI,known_gene
143706,147531,3825,1,0,chrI,known_gene
149400,149841,441,1,0,chrI,novel_orf
152256,153876,1620,1,0,chrI,known_gene
155004,156285,1281,1,0,chrI,known_gene
169374,170295,921,1,0,chrI,known_gene
177093,177450,357,1,0,chrI,novel_orf
188106,188811,705,1,0,chrI,known_gene
192618,196185,3567,1,0,chrI,known_gene
220197,220497,300,1,0,chrI,known_gene
222405,222891,486,1,0,chrI,known_gene
225459,226863,1404,1,0,chrI,known_gene
228843,229317,474,1,0,chrI,known_gene
334,649,315,1,1,chrI,known_gene
10090,10399,309,1,1,chrI,known_gene
36508,37147,639,1,1,chrI,known_gene
45898,48250,2352,1,1,chrI,known_gene
54583,54913,330,1,1,chrI,known_gene
57517,57850,333,1,1,chrI,known_gene
61315,62563,1248,1,1,chrI,known_gene
62839,65404,2565,1,1,chrI,known_gene
69046,69505,459,1,1,chrI,novel_orf
71785,73288,1503,1,1,chrI,known_gene
76426,79435,3009,1,1,chrI,known_gene
79717,80587,870,1,1,chrI,known_gene
82705,83227,522,1,1,chrI,known_gene
92899,94486,1587,1,1,chrI,known_gene
109387,109801,414,1,1,chrI,novel_orf
130798,131983,1185,1,1,chrI,known_gene
135853,136633,780,1,1,chrI,known_gene
158890,159793,903,1,1,chrI,known_gene
174997,175330,333,1,1,chrI,known_gene
183769,184477,708,1,1,chrI,known_gene
184891,185596,705,1,1,chrI,known_gene
186835,187732,897,1,1,chrI,known_gene
190192,192256,2064,1,1,chrI,known_gene
218548,219145,597,1,1,chrI,novel_orf
37463,38972,1509,1,2,chrI,known_gene
42176,42719,543,1,2,chrI,known_gene
48563,51707,3144,1,2,chrI,known_gene
57137,57437,300,1,2,chrI,novel_orf
77390,77693,303,1,2,chrI,known_gene
84668,84977,309,1,2,chrI,known_gene
112961,113336,375,1,2,chrI,novel_orf
120224,124295,4071,1,2,chrI,known_gene
128561,128999,438,1,2,chrI,novel_orf
129269,130487,1218,1,2,chrI,known_gene
136913,137510,597,1,2,chrI,known_gene
140759,141407,648,1,2,chrI,known_gene
190421,191003,582,1,2,chrI,known_gene
